02.12.2012 23:37:37   A1  0,0  A2  0,0  D1  0,0  D2  0,0
02.12.2012 23:39:23 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
02.12.2012 23:39:58 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
02.12.2012 23:39:59 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
02.12.2012 23:40:00 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:05:22 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:07:57 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:08:21 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:08:22 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:08:27 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:09:54 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:09:55 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:09:56 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:09:57 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:09:58 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:09:59 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:10:00 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:10:01 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:10:53 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:10:54 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:11:14 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:11:15 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:11:16 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:11:17 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:11:18 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:11:19 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:11:31 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:11:32 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:11:33 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:11:34 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:11:35 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:12:43 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:12:54 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:12:55 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:12:56 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:12:57 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:15:10 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:15:11 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:15:21 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:15:22 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:15:23 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:15:28 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:16:01 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:16:08 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
